,baked,weight,speed,temperature,size,color,flavor,Y,predict
195,1,1,54,201,1,1,2,False,False
410,0,0,39,216,5,3,3,False,False
258,1,0,36,202,1,1,1,False,False
475,1,0,44,216,1,2,2,False,False
391,1,0,36,183,2,3,1,False,False
297,0,1,55,214,6,1,2,False,False
51,1,0,50,150,4,3,2,False,False
383,1,0,55,210,1,3,1,False,False
108,0,0,38,225,5,3,2,False,False
432,0,1,34,175,3,2,2,False,False
177,0,1,33,178,4,1,4,False,False
325,0,0,31,212,2,2,4,False,False
247,1,0,45,204,6,2,1,False,False
175,0,1,44,150,4,3,4,False,False
234,1,0,48,151,1,1,2,False,False
346,0,0,33,216,3,3,4,False,False
46,0,0,49,161,1,3,4,False,False
109,0,1,40,206,5,1,1,False,False
214,1,1,47,193,1,3,2,True,True
499,0,1,43,200,4,2,3,False,False
315,0,0,37,228,6,3,2,False,False
453,0,1,49,156,3,2,4,False,False
390,0,1,53,190,4,3,4,False,False
43,1,0,44,179,5,2,4,False,False
264,1,1,31,203,1,1,3,False,False
268,1,1,52,230,2,2,1,False,False
269,1,0,54,215,6,1,4,False,False
13,0,1,36,206,5,2,3,False,False
144,0,0,42,153,3,2,2,False,False
147,0,0,43,170,2,1,1,False,False
364,1,0,31,189,1,1,1,False,False
64,1,1,45,189,5,1,1,True,True
434,1,0,36,177,5,1,3,False,False
150,0,0,46,176,6,3,2,False,False
276,0,0,31,187,6,3,1,False,False
419,1,1,50,199,3,2,3,False,True
289,0,0,44,159,2,2,4,False,False
275,0,1,49,198,2,3,2,False,False
314,1,0,51,161,5,3,1,False,False
352,1,0,31,162,4,2,2,False,False
279,1,1,30,182,1,3,4,False,False
280,1,0,40,156,4,1,1,False,False
154,1,0,32,219,2,2,3,False,False
484,0,0,47,224,3,2,2,False,False
38,0,1,42,211,2,2,1,False,False
56,1,0,30,223,4,1,4,False,False
400,1,0,44,199,5,1,1,False,False
231,1,0,38,218,5,2,1,False,False
493,0,1,32,223,1,2,1,False,False
158,1,0,51,222,1,3,1,False,False
481,0,0,40,191,4,1,4,False,False
442,1,0,34,179,4,3,2,False,False
63,0,0,41,205,1,2,2,False,False
39,0,0,46,221,5,2,1,False,False
126,0,0,43,222,1,3,4,False,False
292,1,0,33,150,4,3,4,False,False
113,1,0,50,153,1,3,4,False,False
181,1,0,47,187,6,2,1,False,False
311,0,1,33,209,3,2,4,False,False
416,1,1,41,189,5,2,4,True,True
462,1,0,39,219,4,2,1,False,False
151,0,1,54,224,1,2,1,False,False
168,0,0,41,171,4,3,4,False,False
496,1,1,35,153,3,1,4,False,False
20,1,0,50,212,3,1,4,False,False
169,1,0,42,196,5,3,3,False,False
178,0,1,37,210,2,2,2,False,False
107,0,1,32,229,4,2,4,False,False
327,1,1,37,164,6,3,4,False,False
334,0,0,34,159,2,2,4,False,False
97,0,1,32,172,3,1,3,False,False
357,0,0,53,171,6,2,4,False,False
492,0,1,39,198,3,2,1,False,False
114,0,1,48,196,4,1,4,False,False
440,1,1,41,170,2,3,1,False,False
398,0,0,42,205,5,2,4,False,False
418,1,0,39,159,3,2,2,False,False
9,1,0,35,224,3,1,3,False,False
473,0,1,37,174,1,1,4,False,False
485,1,0,43,196,6,2,1,False,False
19,0,1,38,205,6,2,4,False,False
185,1,0,44,176,2,1,3,False,False
173,1,0,41,178,6,3,3,False,False
299,1,0,55,211,5,3,1,False,False
351,0,1,48,183,5,3,4,False,False
124,0,1,48,199,3,3,1,False,False
401,0,0,34,160,3,1,3,False,False
85,1,0,42,153,5,1,1,False,False
283,1,0,52,154,5,2,2,False,False
216,1,1,45,188,6,2,3,True,True
295,1,0,35,202,3,3,2,False,False
332,0,0,41,195,6,3,2,False,False
309,1,1,49,172,5,3,4,False,False
444,0,0,54,195,1,1,2,False,False
330,0,0,51,152,2,3,3,False,False
220,1,0,51,157,2,1,3,False,False
172,0,1,34,194,6,3,2,False,False
32,1,0,46,199,1,2,2,False,False
40,1,1,47,217,6,3,4,False,False
102,1,0,43,201,6,3,2,False,False
262,0,0,54,155,6,2,2,False,False
15,1,1,47,227,3,1,1,False,False
95,0,1,39,206,6,2,4,False,False
196,1,1,45,224,2,1,4,False,False
140,0,1,32,165,1,3,1,False,False
242,1,1,34,210,6,2,4,False,False
285,1,0,51,161,2,2,1,False,False
479,1,0,35,197,3,2,1,False,False
