,baked,weight,speed,temperature,size,color,flavor,Y,predict
183,0,0,43,212,2,2,4,False,False
21,0,1,47,170,2,2,1,False,False
799,1,1,49,184,1,3,3,True,True
273,1,0,37,183,1,3,4,False,False
199,0,1,53,197,4,1,3,False,False
740,1,1,51,188,5,1,1,False,True
37,0,0,38,181,2,1,2,False,False
626,1,1,49,199,3,3,2,True,True
321,1,0,46,196,4,1,4,False,False
843,1,1,39,188,2,2,2,True,True
623,1,1,49,186,4,3,2,True,True
625,1,1,43,194,5,1,1,True,True
326,1,1,34,202,4,3,1,False,True
468,1,1,50,159,1,3,1,False,True
258,0,1,30,177,2,3,1,False,False
287,1,0,47,189,1,2,1,False,False
790,1,1,47,193,2,1,4,True,True
856,1,1,45,199,4,1,3,True,True
385,0,1,39,169,5,1,4,False,False
471,1,1,36,201,1,1,2,False,True
94,1,0,35,204,5,1,4,False,False
904,1,1,54,187,2,3,3,False,True
281,0,0,51,153,6,3,2,False,False
822,1,1,44,200,5,2,3,True,True
435,0,0,47,192,3,1,2,False,False
32,0,0,32,214,2,3,3,False,False
70,1,0,35,180,2,1,1,False,False
286,1,0,31,221,5,3,4,False,False
300,0,1,47,180,6,1,2,False,False
366,0,0,34,219,3,2,4,False,False
891,1,1,33,186,5,3,1,True,True
829,1,1,41,181,5,2,3,True,True
885,1,1,50,200,5,1,4,True,True
6,1,1,38,177,5,2,2,False,True
176,1,0,30,200,4,1,1,False,False
703,1,1,34,195,5,3,3,True,True
632,1,1,35,196,6,3,1,True,True
246,1,0,52,168,4,2,3,False,False
17,0,0,55,176,2,3,2,False,False
150,0,0,50,224,6,1,4,False,False
403,1,0,46,166,1,2,2,False,False
982,1,1,41,193,3,1,3,True,True
499,1,0,37,164,4,1,1,False,False
302,0,0,35,183,6,2,4,False,False
852,1,1,43,187,4,1,2,True,True
123,1,0,53,206,3,2,2,False,False
181,1,0,33,191,2,3,4,False,False
73,0,1,55,201,4,1,2,False,False
93,0,1,50,180,2,1,4,False,False
240,0,1,51,198,4,3,1,False,False
992,1,1,47,188,6,3,4,True,True
801,1,1,43,181,4,3,1,True,True
0,0,0,34,204,3,3,4,False,False
494,0,0,52,218,6,3,1,False,False
945,1,1,37,185,1,2,3,True,True
400,0,1,33,161,2,2,1,False,False
459,0,0,48,181,5,2,2,False,False
689,1,1,31,195,6,3,2,True,True
840,1,1,36,199,2,1,1,True,True
262,0,1,52,230,5,1,4,False,False
154,0,0,40,230,1,2,3,False,False
239,1,1,39,150,5,3,2,False,False
583,1,1,46,189,5,3,2,True,True
307,1,0,54,169,4,1,1,False,False
198,1,0,43,205,4,1,4,False,False
921,1,1,45,191,5,1,4,True,True
548,1,1,39,197,5,2,1,True,True
778,1,1,34,184,1,3,1,True,True
574,1,1,47,182,6,3,3,True,True
198,1,0,43,205,4,1,4,False,False
627,1,1,39,191,5,1,4,True,True
259,1,1,55,165,6,1,2,False,True
83,0,1,34,228,2,1,4,False,False
439,0,1,48,179,5,2,2,False,False
410,1,0,54,151,1,2,2,False,False
498,1,1,42,151,6,1,4,False,False
436,1,0,50,177,6,3,2,False,False
216,0,0,42,202,1,1,3,False,False
111,0,0,34,225,4,1,1,False,False
664,1,1,44,197,5,1,3,True,True
849,1,1,30,190,1,2,1,True,True
249,1,1,41,207,1,3,2,False,True
376,1,0,39,175,1,1,4,False,False
299,0,0,42,172,3,2,2,False,False
132,0,0,45,175,6,3,1,False,False
106,1,0,55,168,3,1,4,False,False
445,1,1,39,221,6,3,3,False,True
681,1,1,39,194,2,3,1,True,True
958,1,1,52,191,2,1,4,False,True
35,1,0,50,214,5,3,4,False,False
787,1,1,33,198,2,2,1,True,True
448,0,0,50,199,4,3,2,False,False
295,0,0,39,222,3,3,2,False,False
679,1,1,49,200,3,1,2,True,True
806,1,1,31,182,5,1,1,True,True
484,0,0,39,229,2,2,4,False,False
133,1,0,45,158,3,1,3,False,False
466,1,0,48,159,4,1,4,False,False
652,1,1,54,189,2,1,2,False,True
347,1,1,32,152,6,2,3,False,False
662,1,1,33,181,3,2,4,True,True
952,1,1,36,183,4,1,4,True,True
404,1,1,47,165,6,2,4,False,True
722,1,1,37,190,6,2,2,True,True
31,1,1,37,184,4,1,4,True,True
215,1,0,33,195,2,1,4,False,False
461,1,1,31,150,3,2,3,False,False
188,1,0,52,170,3,2,4,False,False
303,1,1,50,174,3,2,4,False,True
27,0,1,41,157,1,3,2,False,False
988,1,1,50,181,4,3,2,True,True
603,1,1,54,197,4,3,3,False,True
378,0,1,52,172,5,1,2,False,False
156,0,0,52,214,6,2,1,False,False
147,0,1,46,183,6,3,2,False,False
