,baked,weight,speed,temperature,size,color,flavor,Y,predict
872,1,1,34,188.0,5,2,2,True,False
86,1,0,42,156.0,1,1,2,False,False
238,0,0,31,204.0,6,1,4,False,True
964,1,1,53,194.0,4,1,2,False,False
280,1,1,31,191.0,4,1,3,True,False
291,1,1,34,171.0,4,3,2,False,False
752,1,1,34,198.0,3,1,4,True,True
272,1,0,42,219.0,1,1,4,False,False
378,1,1,44,226.0,5,3,2,False,False
187,0,0,31,209.0,5,2,1,False,False
12,1,0,42,205.0,6,2,1,False,False
232,1,1,50,191.0,6,1,2,True,True
612,1,1,45,197.0,4,3,1,True,False
358,0,1,31,179.0,5,3,1,False,False
595,1,1,52,189.0,5,1,1,False,False
688,1,1,42,182.0,6,1,4,True,False
792,1,1,53,187.0,4,2,3,False,False
0,1,1,35,179.5,3,2,2,False,False
497,0,0,43,169.0,3,3,4,False,False
206,0,1,40,150.0,6,3,3,False,False
557,1,1,38,189.0,1,3,1,True,False
308,0,1,47,175.0,3,3,4,False,False
742,1,1,43,186.0,5,3,4,True,False
743,1,1,42,180.0,3,3,3,True,False
193,0,1,33,223.0,5,3,2,False,False
883,1,1,37,187.0,6,1,3,True,True
874,1,1,31,180.0,4,2,2,True,False
344,0,1,42,223.0,6,2,2,False,True
705,1,1,46,181.0,2,1,4,True,False
492,1,0,42,226.0,4,2,4,False,True
551,1,1,41,199.0,5,3,1,True,True
397,1,0,42,178.0,3,1,2,False,True
954,1,1,54,180.0,3,3,4,False,False
532,1,1,50,192.0,6,2,2,True,True
252,1,1,51,205.0,6,1,2,False,True
376,1,0,48,181.0,1,1,2,False,False
145,1,1,39,200.0,5,3,1,True,False
80,1,1,39,199.0,2,1,1,True,False
83,1,1,38,151.0,4,1,2,False,False
846,1,1,32,197.0,3,2,3,True,True
49,1,1,45,159.0,3,2,1,False,False
38,0,0,37,152.0,4,3,3,False,True
374,0,0,30,189.0,4,2,4,False,True
632,1,1,49,198.0,4,2,4,True,False
341,0,1,42,220.0,1,2,4,False,False
106,1,1,53,189.0,2,2,4,False,False
294,0,0,42,199.0,5,1,2,False,True
463,1,0,51,180.0,5,2,3,False,True
448,1,0,35,213.0,1,2,4,False,False
959,1,1,34,196.0,5,3,2,True,False
44,0,1,37,220.0,2,2,1,False,False
203,1,1,31,157.0,6,2,2,False,False
445,0,1,31,151.0,5,1,2,False,False
866,1,1,43,195.0,5,3,1,True,False
151,1,1,52,201.0,5,3,3,False,True
962,1,1,50,185.0,3,2,2,True,False
713,1,1,38,185.0,2,3,4,True,True
408,0,1,50,168.0,3,3,2,False,False
811,1,1,52,187.0,4,2,3,False,True
52,1,0,41,190.0,4,1,2,False,False
15,1,0,49,226.0,4,1,1,False,False
264,0,0,40,190.0,2,3,2,False,False
94,1,1,55,201.0,1,2,3,False,False
329,1,1,44,200.0,1,3,1,True,True
638,1,1,35,183.0,6,3,2,True,False
142,0,0,34,175.0,1,1,2,False,False
211,0,0,47,209.0,6,3,1,False,False
507,1,1,33,181.0,3,1,4,True,True
332,1,1,49,207.0,4,1,3,False,True
20,1,1,41,210.0,3,3,3,False,False
274,1,1,34,195.0,6,1,1,True,True
167,0,0,48,186.0,1,2,4,False,False
226,1,0,41,156.0,6,1,2,False,False
65,0,0,48,188.0,1,1,3,False,True
650,1,1,48,199.0,3,1,2,True,False
503,1,1,30,182.0,6,3,4,True,False
147,1,1,40,223.0,1,2,4,False,True
