,baked,weight,speed,temperature,size,color,flavor,Y,predict
355,0,1,42,215,4,2,1,False,False
851,1,1,43,190,4,3,4,True,True
52,0,0,46,195,3,1,1,False,False
66,0,1,55,162,2,1,2,False,False
922,1,1,45,189,3,2,3,True,True
903,1,1,39,191,5,1,3,True,True
437,1,0,55,157,2,3,4,False,False
312,1,0,37,175,6,1,1,False,False
548,1,1,47,194,4,2,3,True,True
512,1,1,48,197,5,1,4,True,True
422,0,1,36,174,2,3,4,False,False
178,1,0,43,175,6,2,2,False,False
454,1,1,54,154,4,1,2,False,False
198,1,0,40,230,3,2,4,False,False
424,0,0,51,161,2,1,1,False,False
377,0,0,54,192,6,2,4,False,False
384,0,1,45,158,3,2,3,False,False
102,1,1,44,216,1,3,3,False,False
496,0,1,33,169,3,1,4,False,False
313,1,1,48,209,1,3,3,False,False
329,0,1,42,178,5,3,2,False,False
217,1,1,49,224,1,1,1,False,False
402,0,1,35,191,5,2,2,False,False
844,1,1,46,190,4,2,1,True,True
700,1,1,45,195,3,3,4,True,True
144,1,1,32,191,2,3,2,True,True
894,1,1,32,196,4,1,3,True,True
30,1,0,55,224,3,2,2,False,False
491,0,0,54,229,2,2,2,False,False
364,1,0,49,188,3,1,2,False,False
278,0,1,53,179,6,1,1,False,False
300,0,1,47,153,4,1,1,False,False
340,0,0,51,180,6,3,1,False,False
327,0,1,44,222,6,1,4,False,False
833,1,1,44,187,2,2,3,True,True
444,0,0,45,161,6,2,2,False,False
171,1,1,44,218,6,2,2,False,False
849,1,1,41,186,3,3,4,True,True
301,1,1,49,209,1,2,1,False,False
181,0,0,32,188,4,1,2,False,False
838,1,1,41,182,5,1,2,True,True
390,1,1,30,168,3,1,2,False,False
122,1,0,46,187,3,1,3,False,False
847,1,1,37,195,3,1,2,True,True
250,0,0,50,218,3,1,1,False,False
147,0,1,44,192,5,2,3,False,False
443,0,1,53,175,5,3,1,False,False
288,0,1,55,215,2,1,3,False,False
680,1,1,49,195,4,3,1,True,True
897,1,1,43,193,3,1,3,True,True
624,1,1,46,192,3,3,1,True,True
258,0,0,35,220,6,1,2,False,False
748,1,1,31,196,1,1,4,True,True
791,1,1,40,192,2,1,1,True,True
96,1,1,35,196,3,2,1,True,True
919,1,1,39,192,3,1,1,True,True
75,0,1,48,175,1,1,1,False,False
596,1,1,43,191,3,1,4,True,True
258,0,0,35,220,6,1,2,False,False
901,1,1,35,183,5,3,4,True,True
746,1,1,36,183,1,1,4,True,True
456,1,1,42,228,2,3,3,False,False
381,1,0,35,189,1,2,3,False,False
480,0,0,40,187,4,1,2,False,False
826,1,1,48,187,1,1,2,True,True
247,1,0,50,182,3,1,4,False,False
207,0,0,43,214,2,1,1,False,False
383,0,0,31,190,5,3,3,False,False
790,1,1,30,197,5,2,2,True,True
167,0,1,30,183,6,3,3,False,False
469,1,1,36,162,6,3,4,False,False
427,0,0,40,171,3,3,4,False,False
238,0,1,54,223,1,2,3,False,False
273,1,0,34,213,1,2,1,False,False
845,1,1,52,181,4,3,2,True,True
668,1,1,37,191,2,1,1,True,True
444,0,0,45,161,6,2,2,False,False
436,0,1,34,158,3,3,3,False,False
417,0,0,47,193,6,1,4,False,False
755,1,1,41,183,4,2,2,True,True
362,1,1,37,191,2,3,1,True,True
387,0,0,47,160,5,1,2,False,False
498,1,0,46,192,1,3,1,False,False
787,1,1,46,180,5,2,2,True,True
249,0,1,38,168,5,2,1,False,False
181,0,0,32,188,4,1,2,False,False
