,baked,weight,speed,temperature,size,color,flavor,Y,predict
165,0,0,47,158,6,3,4,False,False
29,0,1,33,219,3,1,1,False,False
196,0,0,37,186,3,1,1,False,False
283,0,0,34,210,3,1,2,False,False
389,0,0,31,169,1,3,4,False,False
442,0,1,43,183,1,3,3,False,False
210,0,1,43,214,6,3,4,False,False
448,1,1,31,166,1,1,3,False,False
376,1,1,43,157,5,2,3,False,False
36,0,1,41,204,1,3,1,False,False
711,1,1,33,194,4,1,4,True,True
23,1,1,38,195,2,2,3,True,True
157,0,1,42,189,2,1,1,False,False
775,1,1,35,183,2,3,1,False,False
479,1,1,52,205,6,1,4,False,False
208,1,1,48,155,6,3,2,False,False
796,1,1,34,184,4,1,4,True,True
347,1,1,40,179,3,2,2,False,False
31,0,1,52,167,2,3,3,False,False
196,0,0,37,186,3,1,1,False,False
10,0,0,53,191,6,1,2,False,False
150,1,1,51,171,3,1,1,False,False
674,1,1,39,190,4,1,1,True,True
925,1,1,39,197,3,3,2,False,False
917,1,1,43,187,4,1,2,True,True
510,1,1,52,192,2,2,1,False,False
371,0,1,44,209,6,2,3,False,False
138,0,0,51,170,5,3,1,False,False
492,0,0,47,203,6,1,1,False,False
288,1,1,31,185,3,1,3,True,True
562,1,1,34,189,2,1,3,True,True
676,1,1,55,195,2,2,4,False,False
648,1,1,39,198,4,2,1,True,True
654,1,1,47,200,3,3,3,False,False
48,1,1,44,208,3,3,4,False,False
937,1,1,45,181,5,2,4,True,True
172,1,1,39,175,2,3,1,False,False
942,1,1,39,199,3,1,1,True,True
910,1,1,30,186,5,3,4,False,False
142,1,0,52,187,5,3,4,False,False
90,1,0,54,161,1,2,2,False,False
43,0,0,44,159,4,2,3,False,False
305,0,0,37,213,2,2,1,False,False
20,0,0,34,212,3,2,2,False,False
233,1,0,32,214,1,1,4,False,False
835,1,1,30,186,3,3,3,False,False
945,1,1,52,198,1,3,1,False,False
524,1,1,45,182,2,3,1,False,False
119,1,0,50,184,6,1,3,False,False
198,1,1,53,187,3,1,4,False,False
228,0,1,53,165,2,3,3,False,False
531,1,1,43,186,2,1,3,True,True
997,1,1,51,183,4,1,3,False,False
163,1,1,55,161,1,2,4,False,False
378,1,0,50,229,2,2,2,False,False
686,1,1,45,199,3,3,2,False,False
369,1,0,44,203,4,1,4,False,False
899,1,1,40,189,6,3,1,False,False
156,0,1,36,176,2,2,2,False,False
658,1,1,48,197,4,1,1,True,True
961,1,1,53,185,1,2,4,False,False
464,0,1,50,162,5,2,3,False,False
402,1,0,42,169,3,1,2,False,False
91,0,0,31,166,1,3,4,False,False
971,1,1,55,199,6,3,2,False,False
383,1,1,54,219,5,3,3,False,False
180,0,1,30,152,4,3,1,False,False
555,1,1,39,192,2,3,3,False,False
417,1,1,34,200,3,2,4,True,True
23,1,1,38,195,2,2,3,True,True
719,1,1,34,194,2,1,3,True,True
343,0,1,52,207,3,3,4,False,False
121,1,1,37,195,2,3,3,False,False
178,1,0,37,192,3,3,3,False,False
175,1,0,36,184,4,1,2,False,False
19,1,0,39,174,5,1,2,False,False
163,1,1,55,161,1,2,4,False,False
429,1,1,52,153,6,1,2,False,False
434,1,0,45,212,5,3,2,False,False
385,1,0,54,168,5,1,1,False,False
207,0,0,48,218,3,2,3,False,False
592,1,1,46,185,3,2,4,True,True
386,0,1,41,161,1,3,1,False,False
7,0,0,45,159,6,2,2,False,False
647,1,1,34,184,4,3,2,False,False
35,0,1,46,161,3,1,4,False,False
570,1,1,51,183,3,1,2,False,False
564,1,1,46,184,6,1,2,True,True
27,0,0,35,162,6,2,4,False,False
913,1,1,52,194,5,2,1,False,False
704,1,1,34,182,2,1,2,True,True
188,0,0,41,151,6,3,3,False,False
758,1,1,43,194,2,1,1,True,True
112,1,1,36,227,3,3,3,False,False
