,baked,weight,speed,temperature,size,color,flavor,Y,predict
282,0,0,43,182,3,2,2,False,False
79,0,0,30,193,5,1,3,False,False
221,0,1,36,220,1,1,1,False,False
167,1,0,37,180,6,1,2,False,False
464,0,1,36,182,4,1,2,False,False
250,0,1,54,197,4,1,1,False,False
190,0,0,45,199,4,3,1,False,False
440,1,1,35,174,4,2,2,False,False
340,0,1,34,192,3,1,2,False,False
273,0,0,53,228,1,3,4,False,False
74,1,0,35,158,6,3,1,False,False
109,1,0,30,159,4,3,2,False,False
293,1,1,44,173,6,2,2,False,False
245,1,1,40,166,3,2,4,False,False
184,1,1,30,181,2,2,3,True,True
599,1,1,52,185,5,3,2,False,False
745,1,1,54,189,6,2,4,False,False
372,0,0,45,175,4,2,3,False,False
437,0,0,31,195,6,2,3,False,False
23,1,1,38,191,4,3,2,False,False
434,1,1,48,216,5,1,2,False,False
240,1,1,53,181,4,3,4,False,False
629,1,1,43,199,2,2,3,True,True
352,1,0,53,192,5,3,1,False,False
160,0,1,49,212,2,1,1,False,False
255,1,0,54,150,3,3,4,False,False
262,1,0,32,222,4,3,3,False,False
65,0,1,53,221,2,3,2,False,False
86,0,1,53,185,5,3,3,False,False
104,0,0,43,198,2,3,3,False,False
93,1,0,31,202,4,1,1,False,False
18,0,0,49,221,5,3,1,False,False
155,1,1,47,181,5,3,3,False,False
680,1,1,31,195,2,3,3,False,False
924,1,1,34,192,4,3,4,False,False
862,1,1,53,181,2,3,3,False,False
453,1,0,54,219,5,3,4,False,False
378,1,0,50,227,3,2,1,False,False
665,1,1,32,192,6,2,1,True,True
10,0,0,46,182,5,2,4,False,False
777,1,1,51,197,3,2,1,False,False
134,1,1,41,227,4,3,1,False,False
421,1,1,42,163,5,3,2,False,False
105,1,1,45,151,4,2,1,False,False
446,1,1,40,211,1,1,2,False,False
446,1,1,40,211,1,1,2,False,False
144,0,0,39,155,3,1,1,False,False
435,0,0,48,193,3,2,1,False,False
124,0,1,41,155,4,3,1,False,False
332,0,1,44,153,4,1,2,False,False
313,1,0,34,181,4,1,2,False,False
